Product,Price
KIT AUSTRAL N°4: 12x Variedades Austral Íconos,$21.990
24x Cervezas Cusqueña en Lata 354cc,$19.560
24x Cervezas Peroni Nastro Azzurro Botella 330cc,$30.360
24x Cervezas Heineken en Botellas de 330cc,$33.360
24x Cervezas Stella Artois Lata 354cc,$22.608
24x Cervezas Coors Original Botella 355cc,$28.560
24x Cervezas Corona Extra en Botellas 330cc,$28.800
Kit Cerveza Austral: 12x Cervezas Austral MIX en B...,$21.990
24x Cervezas Mahou Clásica en Lata 330cc,$20.112
24x Cervezas Cusqueña Dorada en Botellas 330cc,$27.696
24x Cervezas Budweiser en Lata 354cc,$21.144
"24x Cervezas Patagonia Hoppy Lager 470cc 4,8º alc.",$38.160
